name,platform,price,discount,normal,rating,total
"Rocket League® – Fast & Furious™ '99 Nissan Skyline GT-R R34",PS4,$0.99,50,$1.99,3.95,1615
"Shadow of the Tomb Raider - Digital Deluxe Edition",PS4,$34.99,50,$69.99,4.7,64
"Suikoden®II (PSOne Classic)",PS3,$4.99,50,$9.99,4.96,2515
"Surviving Mars",PS4,$17.99,40,$29.99,3.85,94
"Yu-Gi-Oh! ARC-V Sora and Dipper",PS4,$1.99,60,$4.99,4.59,73
"428: Shibuya Scramble",PS4,$29.99,40,$49.99,5,7
"DARK SOULS™ III - Season Pass",PS4,$12.49,50,$24.99,4.84,4487
"Dragon Age™ II",PS3,$3.99,80,$19.99,4.61,1591
"GOD WARS Future Past","PS Vita",$14.99,50,$29.99,4.67,3
"GRID 2",PS3,$7.49,75,$29.99,4.44,5905
"Ratchet & Clank™",PS4,$15.99,20,$19.99,4.72,12416
"Rocket League® - Game of the Year Edition",PS4,$12.49,50,$24.99,4.62,548
"Suikoden IV",PS3,$4.99,50,$9.99,4.89,155
"Trackmania Turbo",PS4,$9.99,75,$39.99,4.1,3630
"Call of Duty®: Black Ops Ultimate Edition",PS3,$37.49,50,$74.99,4.53,354
"DARK SOULS™: REMASTERED",PS4,$29.99,25,$39.99,4.68,679
"Diablo III: Eternal Collection",PS4,$19.79,67,$59.99,4.75,2323
"Dishonored® Definitive Edition",PS4,$9.99,50,$19.99,4.71,4437
"FIGHTING EX LAYER (Standard Version)",PS4,$35.99,40,$59.99,5,10
"Heroine Anthem Zero Episode 1",PS4,$3.24,75,$12.99,4.45,11
"LEGO® Marvel's Avengers",PS4,$5.99,70,$19.99,4.51,2506
"Metal Gear Solid 3: Snake Eater - HD Edition",PS3,$3.74,75,$14.99,4.94,1154
"METAL GEAR SOLID V: THE PHANTOM Fatigues (All-Purpose Dryland)",PS4,$0.49,50,$0.99,4.69,119
"PAC-MAN 256",PS4,$3.49,30,$4.99,4.41,728
"Sneaking Suit (Naked Snake)",PS4,$0.49,50,$0.99,4.65,609
"SONIC FORCES Digital Standard Edition",PS4,$19.99,50,$39.99,4.35,95
"Sonic Unleashed",PS3,$7.49,50,$14.99,4.6,895
"Sports Bar VR",PS4,$5.99,70,$19.99,3.59,395
"STAR WARS™ Battlefront™ II",PS4,$7.49,75,$29.99,4.03,8084
"Suikoden® (PSOne Classic)",PSP,$2.99,50,$5.99,4.79,5945
"Terraria: PS4™ Edition",PS4,$7.99,60,$19.99,4.6,15662
Teslagrad,PS3,$1.49,90,$14.99,4.56,437
"The Elder Scrolls® Online: 21000 Crowns",PS4,$89.99,40,$149.99,,
"The Evil Within® 2",PS4,$19.79,67,$59.99,4.64,3534
Thief,PS3,$1.49,90,$14.99,4.42,2873
"Worms W.M.D",PS4,$7.49,75,$29.99,4.62,205
"Ys VIII: Lacrimosa of DANA",PS4,$41.99,30,$59.99,4.9,153
"Alien: Isolation - THE COLLECTION",PS4,$11.99,70,$39.99,4.85,414
"ARCADE GAME SERIES: GALAGA",PS4,$1.59,60,$3.99,4.51,170
"Assetto Corsa Ultimate Edition",PS4,$27.99,30,$39.99,3.32,22
"Batman™: Arkham Knight",PS4,$7.99,60,$19.99,4.73,25541
"Battlefield Bundle",PS4,$7.49,75,$29.99,4.61,614
"Battlefield™ Hardline Deluxe Edition",PS4,$6.24,75,$24.99,4.41,1175
"Bulb Boy",PS4,$1.79,80,$8.99,3.56,16
"Don't Knock Twice",PS4,$7.99,60,$19.99,3.45,122
"Dragon Ball Xenoverse - Season Pass",PS4,$6.24,75,$24.99,4.64,4189
"DRAGON BALL XENOVERSE Super Bundle",PS4,$33.99,60,$84.99,4.75,51
"F1™ 2014",PS3,$4.99,75,$19.99,4.43,298
"Fallout 4: Wasteland Workshop",PS4,$2.99,40,$4.99,4.53,7247
"FINAL FANTASY X/X-2 HD Remaster",PS3,$12.49,50,$24.99,4.9,1312
